Datetime,Temperature,ID
2018101112,65.30,17377396
2018101113,66.15,17377396
2018101114,63.90,17377396
2018101115,61.00,17377396
2018101116,58.89,17377396
2018101117,57.54,17377396
2018101118,55.89,17377396
2018101119,52.97,17377396
2018101120,51.46,17377396
2018101121,50.90,17377396
2018101122,49.50,17377396
2018101123,49.64,17377396
2018101200,50.76,17377396
2018101201,51.42,17377396
2018101202,51.84,17377396
2018101203,52.47,17377396
2018101204,53.29,17377396
2018101205,54.37,17377396
2018101206,55.17,17377396
2018101207,55.94,17377396
2018101208,56.91,17377396
2018101209,57.47,17377396
2018101210,58.55,17377396
2018101211,61.05,17377396
2018101212,64.38,17377396
2018101213,65.55,17377396
2018101214,65.23,17377396
2018101215,64.92,17377396
2018101216,64.83,17377396
2018101217,64.38,17377396
2018101218,63.72,17377396
2018101219,63.05,17377396
2018101220,62.47,17377396
2018101221,62.11,17377396
2018101222,61.95,17377396
2018101223,61.90,17377396
2018101300,61.86,17377396
2018101301,61.97,17377396
2018101302,62.20,17377396
2018101303,62.33,17377396
2018101304,62.33,17377396
2018101305,62.33,17377396
2018101306,62.38,17377396
2018101307,62.10,17377396
2018101308,61.68,17377396
2018101309,62.85,17377396
2018101310,67.30,17377396
2018101311,71.20,17377396
2018101312,72.30,17377396
2018101313,71.73,17377396
2018101314,70.72,17377396
2018101315,69.31,17377396
2018101316,67.80,17377396
2018101317,66.34,17377396
2018101318,64.94,17377396
2018101319,63.14,17377396
2018101320,61.43,17377396
2018101321,59.88,17377396
2018101322,58.39,17377396
2018101323,57.11,17377396
2018101400,55.76,17377396
2018101401,54.91,17377396
2018101402,54.66,17377396
2018101403,54.39,17377396
2018101404,53.67,17377396
2018101405,53.10,17377396
2018101406,52.84,17377396
2018101407,52.30,17377396
2018101408,51.73,17377396
2018101409,50.56,17377396
2018101410,48.63,17377396
2018101411,47.98,17377396
2018101412,48.09,17377396
2018101413,48.61,17377396
2018101414,48.88,17377396
2018101415,48.85,17377396
2018101416,48.47,17377396
2018101417,47.07,17377396
2018101418,46.20,17377396
2018101419,46.15,17377396
2018101420,46.06,17377396
2018101421,45.72,17377396
2018101422,45.54,17377396
2018101423,45.46,17377396
2018101500,45.50,17377396
2018101501,45.70,17377396
2018101502,45.93,17377396
2018101503,46.20,17377396
2018101504,46.40,17377396
2018101505,46.51,17377396
2018101506,46.63,17377396
2018101507,46.90,17377396
2018101508,47.71,17377396
2018101509,48.79,17377396
2018101510,49.87,17377396
2018101511,50.90,17377396
2018101512,51.89,17377396
2018101513,52.39,17377396
2018101514,52.30,17377396
2018101515,51.85,17377396
2018101516,51.01,17377396
2018101517,49.96,17377396
2018101518,49.41,17377396
2018101519,49.19,17377396
2018101520,48.92,17377396
2018101521,48.79,17377396
2018101522,48.52,17377396
2018101523,48.27,17377396
2018101600,48.49,17377396
2018101601,48.67,17377396
2018101602,48.79,17377396
2018101603,48.92,17377396
2018101604,48.83,17377396
2018101605,48.97,17377396
2018101606,49.26,17377396
2018101607,50.45,17377396
2018101608,53.04,17377396
2018101609,56.08,17377396
2018101610,58.96,17377396
2018101611,60.84,17377396
2018101612,61.99,17377396
2018101613,62.40,17377396
2018101614,62.01,17377396
2018101615,60.93,17377396
2018101616,58.69,17377396
2018101617,55.11,17377396
2018101618,53.62,17377396
2018101619,52.59,17377396
2018101620,51.66,17377396
2018101621,50.97,17377396
2018101622,50.54,17377396
2018101623,50.36,17377396
2018101700,50.36,17377396
2018101701,50.49,17377396
2018101702,50.74,17377396
2018101703,50.70,17377396
2018101704,50.68,17377396
2018101705,50.32,17377396
2018101706,49.73,17377396
2018101707,49.80,17377396
2018101708,51.98,17377396
2018101709,53.49,17377396
2018101710,55.65,17377396
2018101711,57.65,17377396
2018101712,58.84,17377396
2018101713,59.25,17377396
2018101714,59.05,17377396
2018101715,57.94,17377396
2018101716,54.81,17377396
2018101717,51.46,17377396
2018101718,50.67,17377396
2018101719,50.22,17377396
2018101720,49.55,17377396
2018101721,47.98,17377396
2018101722,46.36,17377396
2018101723,45.23,17377396
2020050800,37.58,45976052
2020050801,36.12,45976052
2020050802,34.81,45976052
2020050803,34.16,45976052
2020050804,33.66,45976052
2020050805,35.22,45976052
2020050806,38.10,45976052
2020050807,42.55,45976052
2020050808,46.22,45976052
2020050809,48.13,45976052
2020050810,49.91,45976052
2020050811,51.78,45976052
2020050812,53.51,45976052
2020050813,54.81,45976052
2020050814,55.54,45976052
2020050815,55.71,45976052
2020050816,55.29,45976052
2020050817,53.98,45976052
2020050818,51.42,45976052
2020050819,47.62,45976052
2020050820,46.85,45976052
2020050821,47.16,45976052
2020050822,47.53,45976052
2020050823,47.16,45976052
2020050900,46.18,45976052
2020050901,43.88,45976052
2020050902,42.80,45976052
2020050903,41.67,45976052
2020050904,40.80,45976052
2020050905,43.00,45976052
2020050906,46.85,45976052
2020050907,50.04,45976052
2020050908,55.08,45976052
2020050909,57.81,45976052
2020050910,59.45,45976052
2020050911,60.71,45976052
2020050912,61.43,45976052
2020050913,62.33,45976052
2020050914,62.46,45976052
2020050915,61.74,45976052
2020050916,60.71,45976052
2020050917,59.02,45976052
2020050918,56.55,45976052
2020050919,52.57,45976052
2020050920,49.96,45976052
2020050921,48.88,45976052
2020050922,47.64,45976052
2020050923,46.33,45976052
2020051000,45.05,45976052
2020051001,43.86,45976052
2020051002,42.64,45976052
2020051003,41.34,45976052
2020051004,40.42,45976052
2020051005,43.86,45976052
2020051006,47.35,45976052
2020051007,52.41,45976052
2020051008,56.01,45976052
2020051009,57.47,45976052
2020051010,58.68,45976052
2020051011,60.19,45976052
2020051012,61.66,45976052
2020051013,62.78,45976052
2020051014,63.57,45976052
2020051015,63.77,45976052
2020051016,63.61,45976052
2020051017,62.74,45976052
2020051018,61.30,45976052
2020051019,59.94,45976052
2020051020,58.19,45976052
2020051021,54.95,45976052
2020051022,51.89,45976052
2020051023,48.56,45976052
2020051100,46.31,45976052
2020051101,45.09,45976052
2020051102,44.53,45976052
2020051103,44.33,45976052
2020051104,45.32,45976052
2020051105,47.62,45976052
2020051106,49.78,45976052
2020051107,52.54,45976052
2020051108,56.08,45976052
2020051109,59.02,45976052
2020051110,60.33,45976052
2020051111,61.75,45976052
2020051112,64.98,45976052
2020051113,70.02,45976052
2020051114,72.00,45976052
2020051115,71.55,45976052
2020051116,70.57,45976052
2020051117,69.12,45976052
2020051118,66.78,45976052
2020051119,63.54,45976052
2020051120,61.59,45976052
2020051121,61.02,45976052
2020051122,60.19,45976052
2020051123,59.07,45976052
2020051200,57.92,45976052
2020051201,57.02,45976052
2020051202,57.36,45976052
2020051203,57.87,45976052
2020051204,54.63,45976052
2020051205,46.44,45976052
2020051206,39.00,45976052
2020051207,35.55,45976052
2020051208,34.59,45976052
2020051209,35.19,45976052
2020051210,35.22,45976052
2020051211,36.27,45976052
2020051212,38.23,45976052
2020051213,39.54,45976052
2020051214,39.85,45976052
2020051215,40.12,45976052
2020051216,40.01,45976052
2020051217,39.96,45976052
2020051218,39.92,45976052
2020051219,37.87,45976052
2020051220,35.46,45976052
2020051221,35.60,45976052
2020051222,35.47,45976052
2020051223,34.81,45976052
2020051300,33.66,45976052
2020051301,32.16,45976052
2020051302,30.74,45976052
2020051303,29.88,45976052
2020051304,30.31,45976052
2020051305,33.69,45976052
2020051306,37.17,45976052
2020051307,41.95,45976052
2020051308,45.68,45976052
2020051309,47.19,45976052
2020051310,47.64,45976052
2020051311,48.54,45976052
2020051312,49.08,45976052
2020051313,49.10,45976052
2020051314,48.76,45976052
2020051315,48.90,45976052
