Model,Accuracy,Precision,Recall,F1-score,CV Mean Score,CV Std Dev
SVC,0.6307692307692307,0.6406153846153846,0.6307692307692307,0.6258178603006188,0.5949519230769231,0.07808985896059237
SVR,,,,,,
SelectFdr,,,,,,
SelectFpr,,,,,,
SelectFromModel,,,,,,
SelectFwe,,,,,,
SelectKBest,,,,,,
SelectPercentile,,,,,,
SelfTrainingClassifier,,,,,,
SequentialFeatureSelector,,,,,,
ShrunkCovariance,,,,,,
SimpleImputer,,,,,,
SkewedChi2Sampler,,,,,,
SparseCoder,,,,,,
SparsePCA,,,,,,
SparseRandomProjection,,,,,,
SpectralBiclustering,,,,,,
SpectralClustering,,,,,,
SpectralCoclustering,,,,,,
SpectralEmbedding,,,,,,
SplineTransformer,,,,,,
StackingClassifier,,,,,,
StackingRegressor,,,,,,
StandardScaler,,,,,,
TSNE,,,,,,
TargetEncoder,,,,,,
TfidfTransformer,,,,,,
TfidfVectorizer,,,,,,
TheilSenRegressor,,,,,,
TransformedTargetRegressor,,,,,,
TruncatedSVD,,,,,,
TunedThresholdClassifierCV,,,,,,
TweedieRegressor,,,,,,
VarianceThreshold,,,,,,
VotingClassifier,,,,,,
VotingRegressor,,,,,,
